id,category,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,feat_32,feat_33,feat_34,feat_35,feat_36,feat_37,feat_38,feat_39
166,C,0.0,6.6,3.2,9.8,6.4,3.0,9.6,6.2,2.8,9.4,6.0,2.6,9.2,5.8,2.4,9.0,5.6,2.2,8.8,5.4,2.0,8.6,5.2,1.8,8.4,5.0,1.6,8.2,4.8,1.4,8.0,4.6,1.2,7.8,4.4,1.0,7.6,4.2,0.8,7.4
167,D,0.0,6.7,3.4,0.1,6.8,3.5,0.2,6.9,3.6,0.3,7.0,3.7,0.4,7.1,3.8,0.5,7.2,3.9,0.6,7.3,4.0,0.7,7.4,4.1,0.8,7.5,4.2,0.9,7.6,4.3,1.0,7.7,4.4,1.1,7.8,4.5,1.2,7.9,4.6,1.3
168,A,0.0,6.8,3.6,0.4,7.2,4.0,0.8,7.6,4.4,1.2,8.0,4.8,1.6,8.4,5.2,2.0,8.8,5.6,2.4,9.2,6.0,2.8,9.6,6.4,3.2,0.0,6.8,3.6,0.4,7.2,4.0,0.8,7.6,4.4,1.2,8.0,4.8,1.6,8.4,5.2
169,B,0.0,6.9,3.8,0.7,7.6,4.5,1.4,8.3,5.2,2.1,9.0,5.9,2.8,9.7,6.6,3.5,0.4,7.3,4.2,1.1,8.0,4.9,1.8,8.7,5.6,2.5,9.4,6.3,3.2,0.1,7.0,3.9,0.8,7.7,4.6,1.5,8.4,5.3,2.2,9.1
170,C,0.0,7.0,4.0,1.0,8.0,5.0,2.0,9.0,6.0,3.0,0.0,7.0,4.0,1.0,8.0,5.0,2.0,9.0,6.0,3.0,0.0,7.0,4.0,1.0,8.0,5.0,2.0,9.0,6.0,3.0,0.0,7.0,4.0,1.0,8.0,5.0,2.0,9.0,6.0,3.0
171,D,0.0,7.1,4.2,1.3,8.4,5.5,2.6,9.7,6.8,3.9,1.0,8.1,5.2,2.3,9.4,6.5,3.6,0.7,7.8,4.9,2.0,9.1,6.2,3.3,0.4,7.5,4.6,1.7,8.8,5.9,3.0,0.1,7.2,4.3,1.4,8.5,5.6,2.7,9.8,6.9
172,A,0.0,7.2,4.4,1.6,8.8,6.0,3.2,0.4,7.6,4.8,2.0,9.2,6.4,3.6,0.8,8.0,5.2,2.4,9.6,6.8,4.0,1.2,8.4,5.6,2.8,0.0,7.2,4.4,1.6,8.8,6.0,3.2,0.4,7.6,4.8,2.0,9.2,6.4,3.6,0.8
173,B,0.0,7.3,4.6,1.9,9.2,6.5,3.8,1.1,8.4,5.7,3.0,0.3,7.6,4.9,2.2,9.5,6.8,4.1,1.4,8.7,6.0,3.3,0.6,7.9,5.2,2.5,9.8,7.1,4.4,1.7,9.0,6.3,3.6,0.9,8.2,5.5,2.8,0.1,7.4,4.7
174,C,0.0,7.4,4.8,2.2,9.6,7.0,4.4,1.8,9.2,6.6,4.0,1.4,8.8,6.2,3.6,1.0,8.4,5.8,3.2,0.6,8.0,5.4,2.8,0.2,7.6,5.0,2.4,9.8,7.2,4.6,2.0,9.4,6.8,4.2,1.6,9.0,6.4,3.8,1.2,8.6
175,D,0.0,7.5,5.0,2.5,0.0,7.5,5.0,2.5,0.0,7.5,5.0,2.5,0.0,7.5,5.0,2.5,0.0,7.5,5.0,2.5,0.0,7.5,5.0,2.5,0.0,7.5,5.0,2.5,0.0,7.5,5.0,2.5,0.0,7.5,5.0,2.5,0.0,7.5,5.0,2.5
176,A,0.0,7.6,5.2,2.8,0.4,8.0,5.6,3.2,0.8,8.4,6.0,3.6,1.2,8.8,6.4,4.0,1.6,9.2,6.8,4.4,2.0,9.6,7.2,4.8,2.4,0.0,7.6,5.2,2.8,0.4,8.0,5.6,3.2,0.8,8.4,6.0,3.6,1.2,8.8,6.4
177,B,0.0,7.7,5.4,3.1,0.8,8.5,6.2,3.9,1.6,9.3,7.0,4.7,2.4,0.1,7.8,5.5,3.2,0.9,8.6,6.3,4.0,1.7,9.4,7.1,4.8,2.5,0.2,7.9,5.6,3.3,1.0,8.7,6.4,4.1,1.8,9.5,7.2,4.9,2.6,0.3
178,C,0.0,7.8,5.6,3.4,1.2,9.0,6.8,4.6,2.4,0.2,8.0,5.8,3.6,1.4,9.2,7.0,4.8,2.6,0.4,8.2,6.0,3.8,1.6,9.4,7.2,5.0,2.8,0.6,8.4,6.2,4.0,1.8,9.6,7.4,5.2,3.0,0.8,8.6,6.4,4.2
179,D,0.0,7.9,5.8,3.7,1.6,9.5,7.4,5.3,3.2,1.1,9.0,6.9,4.8,2.7,0.6,8.5,6.4,4.3,2.2,0.1,8.0,5.9,3.8,1.7,9.6,7.5,5.4,3.3,1.2,9.1,7.0,4.9,2.8,0.7,8.6,6.5,4.4,2.3,0.2,8.1
180,A,0.0,8.0,6.0,4.0,2.0,0.0,8.0,6.0,4.0,2.0,0.0,8.0,6.0,4.0,2.0,0.0,8.0,6.0,4.0,2.0,0.0,8.0,6.0,4.0,2.0,0.0,8.0,6.0,4.0,2.0,0.0,8.0,6.0,4.0,2.0,0.0,8.0,6.0,4.0,2.0
181,B,0.0,8.1,6.2,4.3,2.4,0.5,8.6,6.7,4.8,2.9,1.0,9.1,7.2,5.3,3.4,1.5,9.6,7.7,5.8,3.9,2.0,0.1,8.2,6.3,4.4,2.5,0.6,8.7,6.8,4.9,3.0,1.1,9.2,7.3,5.4,3.5,1.6,9.7,7.8,5.9
182,C,0.0,8.2,6.4,4.6,2.8,1.0,9.2,7.4,5.6,3.8,2.0,0.2,8.4,6.6,4.8,3.0,1.2,9.4,7.6,5.8,4.0,2.2,0.4,8.6,6.8,5.0,3.2,1.4,9.6,7.8,6.0,4.2,2.4,0.6,8.8,7.0,5.2,3.4,1.6,9.8
183,D,0.0,8.3,6.6,4.9,3.2,1.5,9.8,8.1,6.4,4.7,3.0,1.3,9.6,7.9,6.2,4.5,2.8,1.1,9.4,7.7,6.0,4.3,2.6,0.9,9.2,7.5,5.8,4.1,2.4,0.7,9.0,7.3,5.6,3.9,2.2,0.5,8.8,7.1,5.4,3.7
184,A,0.0,8.4,6.8,5.2,3.6,2.0,0.4,8.8,7.2,5.6,4.0,2.4,0.8,9.2,7.6,6.0,4.4,2.8,1.2,9.6,8.0,6.4,4.8,3.2,1.6,0.0,8.4,6.8,5.2,3.6,2.0,0.4,8.8,7.2,5.6,4.0,2.4,0.8,9.2,7.6
185,B,0.0,8.5,7.0,5.5,4.0,2.5,1.0,9.5,8.0,6.5,5.0,3.5,2.0,0.5,9.0,7.5,6.0,4.5,3.0,1.5,0.0,8.5,7.0,5.5,4.0,2.5,1.0,9.5,8.0,6.5,5.0,3.5,2.0,0.5,9.0,7.5,6.0,4.5,3.0,1.5
186,C,0.0,8.6,7.2,5.8,4.4,3.0,1.6,0.2,8.8,7.4,6.0,4.6,3.2,1.8,0.4,9.0,7.6,6.2,4.8,3.4,2.0,0.6,9.2,7.8,6.4,5.0,3.6,2.2,0.8,9.4,8.0,6.6,5.2,3.8,2.4,1.0,9.6,8.2,6.8,5.4
187,D,0.0,8.7,7.4,6.1,4.8,3.5,2.2,0.9,9.6,8.3,7.0,5.7,4.4,3.1,1.8,0.5,9.2,7.9,6.6,5.3,4.0,2.7,1.4,0.1,8.8,7.5,6.2,4.9,3.6,2.3,1.0,9.7,8.4,7.1,5.8,4.5,3.2,1.9,0.6,9.3
188,A,0.0,8.8,7.6,6.4,5.2,4.0,2.8,1.6,0.4,9.2,8.0,6.8,5.6,4.4,3.2,2.0,0.8,9.6,8.4,7.2,6.0,4.8,3.6,2.4,1.2,0.0,8.8,7.6,6.4,5.2,4.0,2.8,1.6,0.4,9.2,8.0,6.8,5.6,4.4,3.2
189,B,0.0,8.9,7.8,6.7,5.6,4.5,3.4,2.3,1.2,0.1,9.0,7.9,6.8,5.7,4.6,3.5,2.4,1.3,0.2,9.1,8.0,6.9,5.8,4.7,3.6,2.5,1.4,0.3,9.2,8.1,7.0,5.9,4.8,3.7,2.6,1.5,0.4,9.3,8.2,7.1
190,C,0.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0
191,D,0.0,9.1,8.2,7.3,6.4,5.5,4.6,3.7,2.8,1.9,1.0,0.1,9.2,8.3,7.4,6.5,5.6,4.7,3.8,2.9,2.0,1.1,0.2,9.3,8.4,7.5,6.6,5.7,4.8,3.9,3.0,2.1,1.2,0.3,9.4,8.5,7.6,6.7,5.8,4.9
192,A,0.0,9.2,8.4,7.6,6.8,6.0,5.2,4.4,3.6,2.8,2.0,1.2,0.4,9.6,8.8,8.0,7.2,6.4,5.6,4.8,4.0,3.2,2.4,1.6,0.8,0.0,9.2,8.4,7.6,6.8,6.0,5.2,4.4,3.6,2.8,2.0,1.2,0.4,9.6,8.8
193,B,0.0,9.3,8.6,7.9,7.2,6.5,5.8,5.1,4.4,3.7,3.0,2.3,1.6,0.9,0.2,9.5,8.8,8.1,7.4,6.7,6.0,5.3,4.6,3.9,3.2,2.5,1.8,1.1,0.4,9.7,9.0,8.3,7.6,6.9,6.2,5.5,4.8,4.1,3.4,2.7
194,C,0.0,9.4,8.8,8.2,7.6,7.0,6.4,5.8,5.2,4.6,4.0,3.4,2.8,2.2,1.6,1.0,0.4,9.8,9.2,8.6,8.0,7.4,6.8,6.2,5.6,5.0,4.4,3.8,3.2,2.6,2.0,1.4,0.8,0.2,9.6,9.0,8.4,7.8,7.2,6.6
195,D,0.0,9.5,9.0,8.5,8.0,7.5,7.0,6.5,6.0,5.5,5.0,4.5,4.0,3.5,3.0,2.5,2.0,1.5,1.0,0.5,0.0,9.5,9.0,8.5,8.0,7.5,7.0,6.5,6.0,5.5,5.0,4.5,4.0,3.5,3.0,2.5,2.0,1.5,1.0,0.5
196,A,0.0,9.6,9.2,8.8,8.4,8.0,7.6,7.2,6.8,6.4,6.0,5.6,5.2,4.8,4.4,4.0,3.6,3.2,2.8,2.4,2.0,1.6,1.2,0.8,0.4,0.0,9.6,9.2,8.8,8.4,8.0,7.6,7.2,6.8,6.4,6.0,5.6,5.2,4.8,4.4
197,B,0.0,9.7,9.4,9.1,8.8,8.5,8.2,7.9,7.6,7.3,7.0,6.7,6.4,6.1,5.8,5.5,5.2,4.9,4.6,4.3,4.0,3.7,3.4,3.1,2.8,2.5,2.2,1.9,1.6,1.3,1.0,0.7,0.4,0.1,9.8,9.5,9.2,8.9,8.6,8.3
198,C,0.0,9.8,9.6,9.4,9.2,9.0,8.8,8.6,8.4,8.2,8.0,7.8,7.6,7.4,7.2,7.0,6.8,6.6,6.4,6.2,6.0,5.8,5.6,5.4,5.2,5.0,4.8,4.6,4.4,4.2,4.0,3.8,3.6,3.4,3.2,3.0,2.8,2.6,2.4,2.2
199,D,0.0,9.9,9.8,9.7,9.6,9.5,9.4,9.3,9.2,9.1,9.0,8.9,8.8,8.7,8.6,8.5,8.4,8.3,8.2,8.1,8.0,7.9,7.8,7.7,7.6,7.5,7.4,7.3,7.2,7.1,7.0,6.9,6.8,6.7,6.6,6.5,6.4,6.3,6.2,6.1
